day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob
132,2017-11-05,1.0,1.0348125,1.0,2.0,0.4400454142928683,0.13198236579037692,1.0323646136910674,0.5539716945319617
133,2017-11-06,0.0,0.026375,0.0,1.0,0.4373951165355563,0.12751730657417912,1.0267554650896449,0.6742573823120888
134,2017-11-07,0.0,0.025125,0.0,0.0,0.43615553427634646,0.12366300184736552,1.0408214684563843,0.6503536672949283
135,2017-11-08,0.0,0.0220625,0.0,0.0,0.43488677755472704,0.12303850229120807,1.0366804457852565,0.6254587981458298
136,2017-11-09,0.0,0.0233125,0.0,0.0,0.43456282031350946,0.12255738082235086,1.0458647835975914,0.599703634297668
137,2017-11-10,0.0,0.02175,0.0,0.0,0.43540013657741883,0.12074954004418459,1.0492918627789078,0.5737993112118032
138,2017-11-11,0.0,0.0216875,0.0,0.0,0.43734421371384596,0.11959179454285572,1.053317567660924,0.546582673414327
139,2017-11-12,0.0,0.0204375,0.0,0.0,0.4390049582369638,0.11878858048560746,1.0637365314414977,0.5178507258318016
140,2017-11-13,0.0,0.022125,0.0,0.0,0.443390602057653,0.11757514938860604,1.0912671611535933,0.4869761279741305
141,2017-11-14,0.0,0.022875,0.0,0.0,0.4472578232011817,0.11756658775969461,1.1153177489047639,0.4538906609209439
142,2017-11-15,0.0,0.014875,0.0,0.0,0.4526173614213262,0.1164039741000218,1.1351721822700593,0.4189658334009357
143,2017-11-16,0.0,0.015625,0.0,0.0,0.4587349120819971,0.11702050489086653,1.168941051612351,0.38073788128091735
144,2017-11-17,0.0,0.0120625,0.0,0.0,0.46650043198671387,0.11686375594022103,1.2047051242177578,0.34222901181291765
145,2017-11-18,0.0,0.01525,0.0,0.0,0.473873429590238,0.11651528865414773,1.2375253931957817,0.3030610917954007
146,2017-11-19,0.0,0.01175,0.0,0.0,0.4823527471874624,0.1176014492180043,1.2771389928062074,0.26633268891478545
147,2017-11-20,0.0,0.010875,0.0,0.0,0.49168751834625885,0.1174337374410749,1.342594897334998,0.23193916803124082
148,2017-11-21,0.0,0.0098125,0.0,0.0,0.5010050103221041,0.11600249525070207,1.3400008173027296,0.20085867646959987
149,2017-11-22,0.0,0.006875,0.0,0.0,0.5113897553929693,0.11830549818249017,1.3752834392730855,0.17318309488586647
150,2017-11-23,0.0,0.00925,0.0,0.0,0.5209086389617974,0.11916744626797933,1.4466161841536413,0.14867747234549827
151,2017-11-24,0.0,0.0025625,0.0,0.0,0.5342460057586857,0.11958326880015728,1.4796654691393325,0.12911584134449205
152,2017-11-25,0.0,0.00475,0.0,0.0,0.5461255537965173,0.12001236491992208,1.5402900293179982,0.11027054547257911
153,2017-11-26,0.0,0.0041875,0.0,0.0,0.5592237000828033,0.12088692136625317,1.5772535493939108,0.09512640931598935
154,2017-11-27,0.0,0.002,0.0,0.0,0.5726296589607157,0.12281202626515805,1.6302080044339364,0.08245578364252859
155,2017-11-28,0.0,0.001625,0.0,0.0,0.5849351852111011,0.12235079622201238,1.7025737428763772,0.0710742824232517
156,2017-11-29,0.0,0.004125,0.0,0.0,0.5992537624364125,0.12303479275920144,1.7577317899235816,0.061548327265727704
157,2017-11-30,0.0,0.001625,0.0,0.0,0.6118521415793753,0.12270251675414237,1.8103599260458325,0.05408413271225954
158,2017-12-01,0.0,0.000375,0.0,0.0,0.624734250258356,0.12138190100240764,1.886892958337149,0.04709667905281851
