onset_day,date,reported,cases_mean,cases_lower,cases_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
78,2017-09-12,5,9.505875,6.0,14.0,1.0522867690119642,0.709689061988758,1.4912774911800926,0.9005917723868357,0.8075310714924367,0.9886146333443432,1.1712520836077078,0.7845415792057369,1.6839065203122823,1.0
79,2017-09-13,4,7.830375,5.0,13.0,0.8697768548253785,0.5773105071792898,1.2475726123952646,0.8785274631746928,0.7849024823351886,0.9690791791674331,0.992652635213144,0.650634807157195,1.4427525809463582,1.0
80,2017-09-14,2,5.681,2.0,10.0,0.7712593406250339,0.51327652083067,1.1139824258669424,0.8547923009067921,0.7621691675671058,0.9441310927101176,0.9049418354726175,0.593929670876964,1.3178528304168498,1.0
81,2017-09-15,4,7.8995,5.0,12.0,0.7773090766287442,0.5202852676160928,1.108885095071045,0.8308911566081906,0.7390472965908723,0.9193503717940101,0.9385519232829681,0.6150091876743383,1.3551929640040397,1.0
82,2017-09-16,7,11.30975,8.0,16.0,0.8399642866466024,0.5607917019749448,1.1816576612494072,0.8059537739673633,0.7130205503210703,0.8948213233372483,1.0458725754570168,0.6886418875714942,1.49837636372552,1.0
83,2017-09-17,13,17.845,14.0,23.0,0.9010035166588958,0.6075644262383855,1.2866821179924859,0.7786777721692433,0.6860121773618064,0.8689441198981105,1.1611638471865804,0.7634622701937185,1.6807673038801212,1.0
84,2017-09-18,6,10.364875,7.0,16.0,0.8002688689133581,0.5361329399108137,1.1384253049765194,0.7497826371116108,0.6569529210632447,0.8391371485049686,1.0711833330339877,0.7021072671802128,1.5463608241914937,1.0
85,2017-09-19,8,11.98225,9.0,17.0,0.7255833999682665,0.48473545981097216,1.051601210829026,0.719516938512573,0.6274363222164052,0.8087008807459956,1.0123489704785988,0.6565285510129305,1.4899558742171641,1.0
86,2017-09-20,4,7.240125,4.0,11.0,0.6149878034995324,0.4015048776526434,0.8954286163996943,0.6875205588241595,0.5964313428123118,0.7767103537390743,0.8982738236751766,0.5715531680348429,1.3388416392106763,1.0
87,2017-09-21,5,7.82875,5.0,12.0,0.5385262511070256,0.34250666740405333,0.7912186926986708,0.6553686554025925,0.5650393435845883,0.7445205576324985,0.8255246284784503,0.5129408256965902,1.2391072280041544,0.9999999999999998
