day_of_outbreak,date,reported_incidence,incidence_mean,incidence_lower,incidence_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
84,2017-09-18,6.0,10.3895,7.0,15.024999999997817,0.7979158269718379,0.5332917582764618,1.137176127999555,0.7501800629423233,0.6603317107768654,0.8393623132222188,1.067445308016396,0.702519622445789,1.5440997635090992,1.0
85,2017-09-19,8.0,11.9655625,9.0,17.0,0.7252188723927601,0.4775673322947587,1.0431260749836695,0.7198890420845165,0.6303529154614899,0.8092974897770934,1.0113218716445598,0.6548078499128953,1.4816188357045488,1.0
86,2017-09-20,4.0,7.33778125,4.0,12.0,0.6151222915373887,0.3994847518389384,0.8983318989967739,0.687622205501452,0.5986956822069422,0.7772895482417662,0.898283255814741,0.5736671271357594,1.33170427394939,1.0
87,2017-09-21,5.0,7.846375,5.0,12.0,0.5393558882471837,0.34312332095823306,0.8007978447811612,0.6555016052430449,0.5669443183128223,0.7448117457504094,0.8265159195816304,0.5160780488849506,1.2469249888520608,0.9999999999999996
88,2017-09-22,3.0,5.356,3.0,9.0,0.459078292381757,0.28692763089848083,0.685860247004868,0.6232086755965768,0.5351073326899043,0.7123835078654156,0.740361867968314,0.4538245742546036,1.1300611020310285,0.9999999999999684
89,2017-09-23,2.0,3.97025,2.0,7.0,0.3964729755572253,0.24348323618036843,0.6017143587316106,0.5900033843407987,0.5019609895242183,0.678718646871126,0.6757481475254561,0.4066559963903517,1.0481317797032965,0.9999999999990234
90,2017-09-24,2.0,3.6779375,2.0,7.0,0.3517787363030915,0.21354103518675263,0.5403883723109734,0.5562051782339659,0.46818230507047276,0.6441023760925216,0.636328066718866,0.3756174728973553,1.000795428782252,0.9999999999811365
91,2017-09-25,0.0,1.51759375,0.0,4.0,0.3173029073890474,0.1890017267934343,0.4953867784991628,0.5229492219242978,0.43569008688218375,0.6109798543735317,0.6110146463206663,0.3532380925321049,0.9741920489533327,0.999999999815011
92,2017-09-26,1.0,2.4265,1.0,5.0,0.3086800423039708,0.180625637792986,0.4824829047981645,0.49097465939545265,0.40490555044764975,0.5779679079379411,0.6337326070981264,0.3592523692611755,1.0202677330298475,0.9999999983079604
93,2017-09-27,2.0,3.38803125,2.0,6.0,0.3109443475445518,0.18025589918705723,0.48928759783809617,0.4600004363850771,0.37404577715895576,0.5468335017622816,0.6819298535287275,0.38374125715062163,1.1086474305200629,0.9999999883446511
94,2017-09-28,3.0,4.38253125,3.0,7.0,0.31321635316752056,0.18036629333665363,0.4985596205041267,0.4295838483444735,0.34410846731026207,0.5162500823454538,0.736408635057274,0.40849738713722994,1.2115555120905506,0.9999999271005731
95,2017-09-29,1.0,2.27321875,1.0,5.0,0.30295661872019375,0.17184956483566177,0.4850089957606402,0.3994921384864555,0.3148701855070015,0.4856111613799512,0.7669048614714779,0.41880626135461724,1.2778554726754658,0.999999634643696
96,2017-09-30,3.0,4.2,3.0,7.0,0.3011917287486904,0.16922760434394846,0.4882326727328195,0.3709277817469574,0.2867094620402491,0.4566377965199855,0.8223495890815398,0.4441244817039742,1.386076741649975,0.999997962189967
97,2017-10-01,2.0,3.03825,2.0,5.0,0.28409252206514296,0.15637761571774197,0.46750979672128834,0.3425811611327807,0.25923629022953576,0.42760579705275076,0.8411573081686492,0.4429411668431218,1.4460222332825647,0.9999919010563842
98,2017-10-02,0.0,0.87928125,0.0,3.0,0.26354254984991965,0.1411747035341717,0.4403455001293872,0.31590888203629264,0.23322145697382227,0.4010776904121426,0.8478354657775385,0.43703701779577636,1.479731378829147,0.999970161485099
99,2017-10-03,0.0,0.78559375,0.0,3.0,0.25398221536689575,0.13330973377508326,0.434165082177896,0.2907868965214002,0.20885933775068544,0.3749939059204514,0.8894791734453082,0.4471167488582766,1.5869881331653959,0.9998870875269791
100,2017-10-04,1.0,1.68440625,1.0,4.0,0.25465237707830685,0.130189951196403,0.43681551889953624,0.26811322230975715,0.18770970032047216,0.3514694334865942,0.9695107967030508,0.4740270892893573,1.7495891222351443,0.9996418634129585
101,2017-10-05,2.0,2.63371875,2.0,5.0,0.2545483235189505,0.12699989578775622,0.4449616939605464,0.24666887986118968,0.16696524197070708,0.32932011252859217,1.0561717409559785,0.5030353177957092,1.9546168580087797,0.9990829957667207
102,2017-10-06,1.0,1.51953125,1.0,3.0,0.2435793670036777,0.11867790013726064,0.4310648307935772,0.22623114903155972,0.14748561293285864,0.3081428976524363,1.1056717168388286,0.5137084001351043,2.0862080713415945,0.9980924482450555
103,2017-10-07,0.0,0.4690625,0.0,2.0,0.23075331842053257,0.10790081200761856,0.4199271353671548,0.2071546833969143,0.12955705608656448,0.28846532249668566,1.1477191503163933,0.5139704990423957,2.222258675499033,0.9960975735510282
104,2017-10-08,1.0,1.39034375,1.0,3.0,0.22376225354438087,0.10069748547147821,0.41332420378454304,0.19002651942035162,0.11355174807454049,0.27040869984663757,1.2178628353630119,0.5272707611144836,2.39081748061199,0.992130844555167
