onset_day,date,reported,cases_mean,cases_lower,cases_upper,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper,additional_case_prob
62,2017-08-27,8,11.465375,8.0,16.0,1.43619606831933,0.9204231818124722,2.13143001457225,0.9877765199720303,0.9194500973743133,1.0,1.4548056474328832,0.9337811066696685,2.16234011977243,1.0
63,2017-08-28,2,5.455625,2.0,10.0,1.2946340598758141,0.818691799425802,1.9105663614517039,0.9884594077798606,0.9209620385721609,1.0,1.310456134598663,0.8240101879899844,1.9404704741158072,1.0
64,2017-08-29,4,7.612125,4.0,12.0,1.2743696930164414,0.8159741568557692,1.8689600820015706,0.9889405905741467,0.9225443952194458,1.0,1.2893121166040848,0.8268360723400429,1.8926890184346916,1.0
65,2017-08-30,2,5.811375,2.0,11.0,1.300907875642478,0.8442632274856869,1.8956350189868933,0.9891868735559547,0.9233646601842252,1.0,1.3158262649153027,0.851751424663301,1.9247354354357449,1.0
66,2017-08-31,9,13.505125,10.0,19.0,1.4917788899232025,0.9775126430602636,2.1458516335487405,0.9894495019830587,0.9245435330632839,1.0,1.5084174209313133,0.9886236995615689,2.1730322220921248,1.0
67,2017-09-01,7,11.676875,8.0,16.0,1.5650316970055982,1.0503006161823065,2.2298178418376904,0.9891827918645003,0.9226198294864707,1.0,1.5829875324737455,1.0616089030083167,2.2544859833874757,1.0
68,2017-09-02,8,13.06275,9.0,18.0,1.6564073899510743,1.1032226538202519,2.3389186067233907,0.9883933383526248,0.9206175803931406,1.0,1.6767442044573686,1.1142110857207557,2.370941833037163,1.0
69,2017-09-03,7,12.29825,8.0,18.0,1.7352100345363923,1.1667265370987678,2.44940509100602,0.9873785882149653,0.9163129570548223,1.0,1.7583361864585965,1.1810564547274203,2.479320999998986,1.0
70,2017-09-04,9,14.801625,10.975000000000023,21.0,1.883904344339371,1.2853791456702885,2.6383465637263597,0.9855812830445826,0.9137997307378483,1.0,1.9126606982990213,1.2982339308761552,2.6929736725480753,1.0
71,2017-09-05,12,18.15325,14.0,24.0,2.0241853823141,1.370763657343545,2.8369928916249645,0.9826488774399177,0.9065951055239854,1.0,2.061546619056482,1.3929748325384417,2.9088115340858844,1.0
72,2017-09-06,12,18.079875,13.0,24.0,2.001998022796607,1.3591218913132057,2.812482026619887,0.9783770365798363,0.898046386422665,1.0,2.0480928164055645,1.3806842555839784,2.8893522494752184,1.0
73,2017-09-07,7,12.737625,8.0,18.0,1.8163970724210436,1.2449237350042288,2.5507296878439876,0.9719235755582641,0.8870297902359795,1.0,1.8709834678758397,1.2726853731185805,2.622150780315401,1.0
74,2017-09-08,12,17.8245,13.0,24.0,1.755879630060558,1.1909093259260757,2.473426807959806,0.9637224850854572,0.8769941378297231,1.0,1.824559568162176,1.2343374260916207,2.583948182516377,1.0
75,2017-09-09,2,7.321875,3.0,13.0,1.512698788034419,1.0190423162353752,2.146723587136713,0.9524590864219717,0.8627205125699032,1.0,1.590996299890039,1.0671677430548103,2.284148252182446,1.0
76,2017-09-10,15,20.870125,16.0,27.0,1.5881627978863737,1.0788171706967966,2.245792996274746,0.9386298984574408,0.8467088650411496,0.9999999999999998,1.6952176095010298,1.1329613021716458,2.4174151181170416,1.0
77,2017-09-11,11,16.359625,12.0,22.0,1.3601277339838227,0.9099252338203768,1.9363377283236807,0.9215507184189803,0.827896423307643,0.9999999768107344,1.4790803585338694,0.9769385460689819,2.1234028280246937,1.0
78,2017-09-12,5,9.477875,6.0,15.0,1.0590953102630458,0.6992695466694641,1.4912514909690144,0.901765981542349,0.8069866289720397,0.9909424250192116,1.177190754714323,0.772444337783984,1.6790068806551555,1.0
79,2017-09-13,4,7.8155,4.0,12.0,0.8733550762027943,0.5815998735801315,1.2428583481806095,0.8797854349041617,0.7858730400899823,0.9690058422802225,0.9952126832127297,0.652129708495292,1.4301058352798657,1.0
80,2017-09-14,2,5.650375,2.0,10.0,0.7732079502363213,0.5106817654424316,1.1116674249751102,0.8563864994806922,0.7630685543986546,0.9462985952978157,0.9052757766268065,0.5892918003632094,1.3041049796468513,1.0
81,2017-09-15,4,7.872875,5.0,13.0,0.777736975833522,0.5166487372395894,1.1189551274656042,0.8323975289281927,0.7386280819277048,0.9217573760886435,0.9370395473541083,0.6167339487824013,1.3600571701713857,1.0
82,2017-09-16,7,11.335,8.0,16.0,0.8418212688183122,0.5683472822559036,1.1884273891519523,0.8074087475471211,0.7159165176440779,0.8956106972655478,1.045827622873043,0.6943651593369585,1.4914310014463288,1.0
83,2017-09-17,13,17.93275,14.0,23.0,0.9060941321617247,0.6098434917264904,1.290214604444884,0.7802889630556937,0.6880129688913368,0.8684517870172187,1.1651290164216226,0.771437785642881,1.6889159875469966,1.0
84,2017-09-18,6,10.433875,7.0,16.0,0.804401339684323,0.5375646080226505,1.1620334692514867,0.7513065071407478,0.6578771436578099,0.8381275604867293,1.0745448014192016,0.7053574621952202,1.5771690825764222,1.0
85,2017-09-19,8,11.894625,8.0,16.0,0.7294600130111913,0.4814762335532497,1.0593954321341372,0.7207965497536547,0.6272293973028032,0.8085248644480393,1.016314462604014,0.6488410039859752,1.489998120076665,1.0
86,2017-09-20,4,7.383625,4.0,12.0,0.619992424651714,0.3995563417863784,0.9056503875501276,0.6886330843905967,0.5956020722249792,0.7764671638169117,0.9043798891550121,0.5684387920680737,1.344826986559036,1.0
87,2017-09-21,5,7.864,5.0,12.0,0.5415108455063036,0.3431976069224231,0.8119059128664192,0.6565680748893359,0.5651670306117216,0.7442349986817909,0.8287067897425264,0.5101805291048673,1.2575862828650095,0.9999999999999996
88,2017-09-22,3,5.40975,3.0,9.0,0.46232453860504796,0.28812057019861737,0.7058699607419332,0.6242649911788591,0.5349295199564745,0.7126705870345055,0.7444426673398052,0.45026308334291754,1.1559952108418445,0.9999999999999752
89,2017-09-23,2,3.95975,2.0,7.0,0.39959818880201803,0.24337008085574852,0.6061578352660981,0.5911550234643128,0.5021467191038665,0.6786975611943179,0.6799007174174667,0.405213724754701,1.051865117116514,0.9999999999992506
90,2017-09-24,2,3.7525,2.0,7.0,0.3557573253307394,0.21360051949369996,0.5475078801852096,0.5572585886806476,0.4679265384069229,0.646181877820727,0.6424205359058645,0.37397201163151306,1.0207776733806642,0.9999999999845636
91,2017-09-25,0,1.519,0.0,5.0,0.3209405910639028,0.19132483950925536,0.5007493372362121,0.5241865011333049,0.4348935526996981,0.6122950221125808,0.6165808968058591,0.35216343272476425,0.9909332398479251,0.9999999997835841
92,2017-09-26,1,2.466,1.0,5.0,0.310770621153638,0.17936392688672215,0.4834434010540056,0.4918980765912095,0.40452126556456,0.5801897414130108,0.6368800361046704,0.35963376408071845,1.0232691615419496,0.9999999978254807
93,2017-09-27,2,3.378375,2.0,6.0,0.3123219924156341,0.18124301598548673,0.491308883751704,0.4611115984231635,0.37405830389038286,0.5476206932047301,0.6832789317375799,0.3834383720480476,1.1068254355813063,0.9999999857468267
94,2017-09-28,3,4.4195,3.0,7.0,0.31505319857999736,0.18221769453079933,0.5088317316055347,0.4307185204278212,0.3451769829641815,0.5162397675853889,0.7386357840313145,0.41197201417781265,1.221621130748131,0.9999999237444961
95,2017-09-29,1,2.265,1.0,5.0,0.3047295764073519,0.17114601418519204,0.4952056651279321,0.40049364847966273,0.31603337301958584,0.48561928610786326,0.7693802932697825,0.41536575987176816,1.2878052161780773,0.9999996117337996
96,2017-09-30,3,4.199625,3.0,7.0,0.3018018941707563,0.168757586321952,0.4910447757623805,0.37191690452057835,0.28823783722057245,0.4584015764920655,0.8216618986797921,0.4395934467511658,1.3785513161214413,0.9999979479182185
97,2017-10-01,2,3.020375,2.0,5.0,0.2841974014134175,0.15715300091082737,0.4696153764856602,0.34329154606989304,0.25997965175998167,0.4283290993349495,0.8397230914728538,0.4413980202516337,1.4411070880691557,0.9999917944604246
98,2017-10-02,0,0.886375,0.0,3.0,0.2638306123797703,0.1425047479983652,0.4406105417084783,0.3165897370941226,0.23409540692876793,0.40118696554030153,0.8468225632218092,0.4340865102978904,1.479362002984835,0.9999699832541444
99,2017-10-03,0,0.747625,0.0,3.0,0.25444377002648805,0.13371702038883462,0.43113358696763326,0.291348243183575,0.20975282689198685,0.3742884244855135,0.8898915977898163,0.44426327255333076,1.5870327484610762,0.9998907620817896
100,2017-10-04,1,1.70075,1.0,4.0,0.25474508191362766,0.13117965810979276,0.43721601879441563,0.2685270658902668,0.18955730621231634,0.351318815786845,0.9691160759272779,0.46830166373791576,1.7784448198892127,0.9996528469497831
101,2017-10-05,2,2.61275,2.0,5.0,0.25497208964234175,0.12813713641497948,0.44864449314054516,0.24723022614032691,0.16897780238204974,0.32932538834875325,1.0569607824806777,0.4952618312844588,1.9608650815231177,0.9991073471769798
102,2017-10-06,1,1.558,1.0,3.0,0.24409347740881843,0.1201282195385946,0.4341604723168308,0.22669511202303191,0.149591447810661,0.30805090608196833,1.1072421900299847,0.507513372120046,2.097207242262216,0.998139145935951
103,2017-10-07,0,0.469,0.0,2.0,0.2309751111487465,0.1097561178078911,0.41277285511099676,0.20765131312795174,0.13124108308136037,0.28831680537861326,1.1481155912928538,0.5106065836731403,2.196352574077345,0.9961884786920804
104,2017-10-08,1,1.407625,1.0,3.0,0.2230696659974908,0.1018726363768019,0.41137154101314527,0.19086360436940106,0.11526063165971409,0.27111526072616554,1.2100958581622303,0.5219328821274315,2.370890042117069,0.9922746560053317
105,2017-10-09,0,0.3175,0.0,2.0,0.2130836762223532,0.093250393917913,0.4016920869964819,0.17503629132110343,0.09980534910188578,0.25519320438115517,1.26615043016131,0.5362593235350086,2.548777811089617,0.9870226910882113
