date,temperature,temperature_smoothed,suitability,suitability_smoothed
2021-09-22,21.3,21.66423813205284,0.23500424437003295,0.2984253393615139
2021-09-23,20.6,21.50260432743062,0.13746287532172685,0.2673054549908225
2021-09-24,21.2,21.339473102696243,0.2191043488931835,0.24128042644020475
2021-09-25,22.2,21.17492139804236,0.407219580806637,0.21511687739486396
2021-09-26,23.4,21.009026576959858,0.6889462993879419,0.18873977424123994
2021-09-27,23.7,20.841866369412692,0.7576841322768367,0.16760044237216898
2021-09-28,23.4,20.67351881493894,0.6889462993879419,0.1466236289232777
2021-09-29,22.9,20.50406220573833,0.5688042969628475,0.12550862259013162
2021-09-30,22.3,20.33357502980187,0.42929403693863044,0.1096326050989808
2021-10-01,21.7,20.162135914138986,0.30531068861129895,0.09379968402514771
2021-10-02,20.6,19.989823568161146,0.13746287532172685,0.07817002669076926
2021-10-03,21.3,19.816716727277004,0.23500424437003295,0.06701254166769549
2021-10-04,22.8,19.64289409675354,0.5449639600227902,0.05580892090475367
2021-10-05,19.3,19.468434295902114,0.038184350372869796,0.04527074132672594
2021-10-06,18.8,19.293415802640162,0.020488623921161873,0.037907339112429814
2021-10-07,15.6,19.117916898487557,2.303740867127415e-05,0.030523724984809136
2021-10-08,16.5,18.942015614046813,0.00024784765668831965,0.024091620426782638
2021-10-09,17.2,18.76578967502523,0.0014441770083666958,0.01962069343219729
2021-10-10,14.4,18.589316448846724,2.4888508852459193e-07,0.015143492657307932
2021-10-11,12.6,18.412672891909217,3.9250174840044e-11,0.011653695819503268
2021-10-12,13.7,18.23593549753572,1.503803434939707e-08,0.009176901080719155
2021-10-13,14.9,18.059180244671154,1.8318978827539285e-06,0.006699856073355032
2021-10-14,13.4,17.882482547371392,2.2457159669633153e-09,0.005046686753765661
2021-10-15,13.4,17.705917205136434,2.2457159669633153e-09,0.0038089320510551698
2021-10-16,13.7,17.52955835413107,1.503803434939707e-08,0.002572624888882723
2021-10-17,14.9,17.35347941934071,1.8318978827539285e-06,0.00191548085160215
2021-10-18,14.8,17.17775306770847,1.4496096251473513e-06,0.0013758612385114486
2021-10-19,14.7,17.002451162293678,1.067321367540767e-06,0.0008375450127699487
2021-10-20,15.0,16.827644717497925,2.2141861403605057e-06,0.0006293377292100253
2021-10-21,18.4,16.65340385539706,0.011476098134999667,0.00042646200569244734
2021-10-22,19.8,16.479797763220773,0.06593507625225989,0.00024036846612147223
2021-10-23,18.0,16.306894652015618,0.005870505164561441,0.00017635697410520716
2021-10-24,18.2,16.134761716532072,0.008673301649780554,0.00011263061343626871
2021-10-25,16.2,15.963465096366713,0.000136782867448674,5.911337847088947e-05
2021-10-26,15.8,15.793069838398075,4.288854164675916e-05,4.220068384925207e-05
2021-10-27,15.6,15.623639860543904,2.303740867127415e-05,2.5383798747168922e-05
2021-10-28,14.3,15.455237916875356,1.9502532472157156e-07,1.213623861219532e-05
2021-10-29,13.8,15.287925564112832,2.117403400376795e-08,8.48961366783589e-06
2021-10-30,15.2,15.121763129534843,6.57324855762898e-06,4.868051549182149e-06
2021-10-31,16.1,14.95680968032331,9.976127103545966e-05,2.049074619813778e-06
2021-11-01,17.8,14.793122994371272,0.004468469309684118,1.4233196401537774e-06
2021-11-02,16.1,14.630759532573158,9.976127103545966e-05,8.02623191056046e-07
2021-11-03,17.4,14.469774412621915,0.0020583360210343093,2.864654223576999e-07
2021-11-04,14.5,14.31022138432776,3.0274485232761233e-07,2.0053053817790127e-07
2021-11-05,12.1,14.152152806480137,1.821222517817983e-12,1.1539517550237823e-07
2021-11-06,14.2,13.995619625263963,1.4116556091855024e-07,3.3177253533846106e-08
2021-11-07,19.9,13.84067135424799,0.07238050900701803,2.3669628159852465e-08
2021-11-08,16.2,13.687356055953023,0.000136782867448674,1.4262201986375765e-08
2021-11-09,15.4,13.535720325013154,1.0932310974897493e-05,4.957834060002763e-09
2021-11-10,18.2,13.385809272936747,0.008673301649780554,2.171878907357605e-09
2021-11-11,16.7,13.23766651447223,0.00048071579229262397,1.4010638787729293e-09
2021-11-12,15.8,13.091334155586127,4.288854164675916e-05,6.396687045047934e-10
2021-11-13,13.9,12.94685278305205,2.731003365813872e-08,1.4780598875570212e-10
2021-11-14,13.3,12.804261455655165,1.7253968932711015e-09,1.0317864724591815e-10
2021-11-15,15.7,12.663597697007127,3.2962975159016566e-05,5.91545841430943e-11
2021-11-16,12.8,12.524897489972192,1.0184492351724772e-10,1.574506113895513e-11
2021-11-17,12.8,12.388195272696032,1.0184492351724772e-10,6.2389519904370685e-12
