date,temperature,temperature_smoothed,temperature_rolling,suitability,suitability_smoothed,suitability_rolling_temp
2017-06-07,22.3,21.869799875835263,21.721428571428568,0.42929403693863044,0.3380028133466017,0.30943640146353785
2017-06-08,22.2,22.013700308273666,21.892857142857142,0.407219580806637,0.3660949370824691,0.34244210428145366
2017-06-09,22.4,22.156437982996152,22.064285714285713,0.45136849307062316,0.3976035024729114,0.377261390341789
2017-06-10,23.1,22.297946367236076,22.242857142857144,0.6167200502741652,0.42884070867504565,0.416680062006063
2017-06-11,24.7,22.43815878252902,22.45714285714286,0.9412812150578076,0.45979183678049446,0.46398246800319143
2017-06-12,24.4,22.57700845380097,22.642857142857142,0.8982875420435125,0.4918020240610969,0.507500573402699
2017-06-13,24.3,22.714428559053868,22.842857142857145,0.8798850957959572,0.5245634401767696,0.5551812472828154
2017-06-14,24.9,22.850352279597598,23.064285714285713,0.9658724418245467,0.5569681131358573,0.6081216872844292
2017-06-15,25.2,22.984712850777775,23.300000000000004,0.9869008331247499,0.5890001260197979,0.6648708830166842
2017-06-16,25.7,23.117443613147984,23.585714285714285,0.9906296566237761,0.6209196727697336,0.7321627514096166
2017-06-17,25.9,23.24847806403308,23.87142857142857,0.9812593132475523,0.6524667624101136,0.795966203577667
2017-06-18,24.4,23.377749909432378,24.0,0.8982875420435125,0.6835894974408051,0.82467775705329
2017-06-19,23.9,23.505193116207447,24.042857142857144,0.802346548794472,0.714181401354609,0.8325645197308142
2017-06-20,24.6,23.630741964501794,24.142857142857142,0.9289856016744382,0.7422179761337667,0.8509669659783695
2017-06-21,25.0,23.754331100337023,24.33571428571429,0.9781680552079165,0.7698169234424047,0.8864573980272276
2017-06-22,25.8,23.875895588331574,24.592857142857138,0.9859444849356642,0.7969637424252333,0.9281073435756253
2017-06-23,25.4,23.995370964486362,24.807142857142857,0.9956336110415832,0.8236440374923649,0.9544550865399893
2017-06-24,25.6,24.112693288982083,24.985714285714284,0.995314828311888,0.8454160789828205,0.9764115390102921
2017-06-25,26.2,24.22779919893291,25.092857142857138,0.9488757144282406,0.8665983821892813,0.9822225592407318
2017-06-26,26.7,24.340625961040242,25.25714285714286,0.8633473195301091,0.8873612664389405,0.9893959125295596
2017-06-27,28.1,24.45111152409175,25.52857142857143,0.47315388542885456,0.9076933127908036,0.9986613795176823
2017-06-28,26.4,24.559194571249254,25.63571428571429,0.9211772872970408,0.92396832391582,0.9936415527089908
2017-06-29,25.5,24.664814572070142,25.657142857142855,1.0,0.9369549508722682,0.9926375873472528
2017-06-30,25.0,24.76791183420692,25.607142857142858,0.9781680552079165,0.9496313916334456,0.9949801731913086
2017-07-01,21.6,24.868427554729102,25.3,0.28605736196751547,0.9619904160183613,0.9912672220831666
2017-07-02,22.3,24.96630387101315,25.15,0.42929403693863044,0.9740249094625318,0.9847176386455415
2017-07-03,24.6,25.061483911145206,25.2,0.9289856016744382,0.9808526819153636,0.9869008331247499
2017-07-04,26.1,25.15391184378253,25.307142857142857,0.9627249279938402,0.9848884449605325,0.9915791070087678
2017-07-05,26.8,25.24353292741988,25.435714285714283,0.8413569424294429,0.9888016500608872,0.9971930356695892
2017-07-06,27.0,25.330293559007085,25.521428571428572,0.7973761882281113,0.9925899566987634,0.9989960346382617
2017-07-07,28.0,25.414141321865674,25.707142857142856,0.5033301997109824,0.9962510761581003,0.9902950015031968
2017-07-08,27.8,25.495025032851927,25.864285714285717,0.5650266162888901,0.9997827735837617,0.9829325888504492
2017-07-09,27.8,25.572894788715207,25.978571428571428,0.5650266162888901,0.9965847539970061,0.9775781069211786
2017-07-10,28.2,25.64770201160086,26.085714285714285,0.44297757114672787,0.9930799071697047,0.9647033870746404
2017-07-11,27.2,25.719399493647618,26.021428571428572,0.7414542093991678,0.9897207570397608,0.9736064529382402
2017-07-12,26.9,25.78794144063092,26.057142857142857,0.8193665653287775,0.9865094491452185,0.9686603052362404
2017-07-13,27.5,25.85328351460391,26.2,0.6575712411557523,0.9834480607950109,0.9488757144282406
2017-07-14,26.9,25.91538287548886,26.335714285714285,0.8193665653287775,0.9805385991203307,0.9300803531606406
2017-07-15,27.2,25.97419822157364,26.735714285714288,0.7414542093991678,0.9777829991773015,0.8554936134227279
2017-07-16,25.8,26.02968982886744,26.985714285714288,0.9859444849356642,0.9724623337523275,0.8005176706710632
2017-07-17,24.6,26.081819589272786,26.985714285714288,0.9289856016744382,0.9652427719025555,0.8005176706710632
2017-07-18,25.3,26.13055104753082,26.928571428571427,0.9912672220831666,0.9584938481747693,0.813083600442873
2017-07-19,25.1,26.175849436898687,26.807142857142857,0.9825344441663333,0.9522203774894362,0.839786201207967
2017-07-20,25.2,26.217681713519084,26.678571428571427,0.9869008331247499,0.946426936160925,0.8680595431945377
2017-07-21,27.1,26.256016589443025,26.614285714285717,0.7694151988136391,0.9411178573241107,0.8821962141878219
2017-07-22,28.8,26.290824564268878,26.685714285714287,0.27345158261061153,0.936297226552618,0.866488801973061
2017-07-23,27.8,26.322077955361614,26.685714285714283,0.5650266162888901,0.9319688776736929,0.8664888019730618
2017-07-24,25.6,26.349750926617933,26.5,0.995314828311888,0.9281363887844581,0.9073280737314408
2017-07-25,24.5,26.37381951574445,26.307142857142857,0.9166899882910684,0.9248030784740999,0.9340372713222406
2017-07-26,23.1,26.394261660017552,26.035714285714285,0.6167200502741652,0.9219720022563301,0.9716279938574405
2017-07-27,24.3,26.41105722049525,25.807142857142853,0.8798850957959572,0.9196459492162344,0.9856098298150849
2017-07-28,24.4,26.424188004652994,25.62857142857143,0.8982875420435125,0.9178274388753903,0.9939762078295703
2017-07-29,25.9,26.433637787416906,25.535714285714285,0.9812593132475523,0.9165187182789308,0.9983267243971029
2017-07-30,27.2,26.43939233056974,25.635714285714283,0.7414542093991678,0.9157217593079705,0.9936415527089911
2017-07-31,28.7,26.441439400506525,25.928571428571427,0.29978393117385654,0.9154382562205877,0.9799206927652346
2017-08-01,30.4,26.439768784318645,26.292857142857144,0.024663881676580058,0.9156696234243088,0.9360157304030403
2017-08-02,30.7,26.43437230418679,26.692857142857143,0.012276550413273695,0.9164169934827944,0.8649180607515851
2017-08-03,31.5,26.425243830065114,27.142857142857142,0.000749826043804533,0.917681215359186,0.7574319176360088
2017-08-04,30.7,26.412379290640615,27.4,0.012276550413273695,0.9194628528983155,0.6855322305702245
2017-08-05,30.4,26.39577668255382,27.514285714285712,0.024663881676580058,0.9217621835497155,0.6531643542573309
2017-08-06,29.1,26.375436077868365,27.607142857142858,0.20051747494355127,0.9245791973331385,0.6245195894175871
2017-08-07,30.3,26.351359629779274,27.942857142857143,0.031685176467999863,0.9279135960480074,0.5209577473046703
2017-08-08,29.3,26.323551576551438,28.285714285714285,0.15997865386240956,0.9317647927279662,0.41711215890490455
2017-08-09,31.0,26.292018243681593,28.849999999999998,0.004227495705444185,0.9361319113414626,0.26028540832899
2017-08-10,29.7,26.25676804427933,29.235714285714288,0.09276352400566472,0.9410137867389818,0.17300898920991922
2017-08-11,24.1,26.21781147766412,29.214285714285715,0.843080203300846,0.9464089648473473,0.177352434325756
2017-08-12,22.6,26.17516112617772,28.978571428571428,0.4972832861426748,0.952315703111178,0.22642953160481796
2017-08-13,23.9,26.128831650212753,28.742857142857144,0.802346548794472,0.9587319711813895,0.2884986389324656
2017-08-14,24.8,26.078839781460584,28.464285714285715,0.9535768284411773,0.9656554518503119,0.36322588340110507
2017-08-15,26.4,26.0252043143834,28.178571428571427,0.9211772872970408,0.9730835422327379,0.449443924207184
2017-08-16,27.3,25.96794609591697,27.935714285714287,0.7134932199846957,0.9780759219984729,0.523161190753881
2017-08-17,28.0,25.90708801341307,27.685714285714287,0.5033301997109824,0.9809272276498735,0.600281711476266
2017-08-18,27.5,25.842654980831856,27.45714285714286,0.6575712411557523,0.9839460258501606,0.6695545223333825
2017-08-19,26.4,25.77467392319669,27.17142857142857,0.9211772872970408,0.9871310551157624,0.7494430635175884
2017-08-20,25.9,25.70317375932587,26.942857142857147,0.9812593132475523,0.9904809605503916,0.8099421179999196
2017-08-21,25.7,25.62818538285701,26.614285714285717,0.9906296566237761,0.9939942947340855,0.8821962141878219
2017-08-22,23.7,25.549741641582283,26.214285714285715,0.7576841322768367,0.9976695186913848,0.9468972553474404
2017-08-23,23.9,25.467877315114322,25.707142857142856,0.802346548794472,0.9985973986340048,0.9902950015031968
2017-08-24,24.9,25.38262909090395,25.364285714285717,0.9658724418245467,0.9948751295848368,0.9940741864135775
2017-08-25,25.1,25.294035538633675,25.435714285714283,0.9825344441663333,0.9910067905006383,0.9971930356695892
2017-08-26,26.0,25.202137083011273,25.678571428571427,0.9765741415594403,0.9869941464813863,0.9916336219855145
2017-08-27,27.0,25.10697597499073,25.9,0.7973761882281113,0.9828390423680703,0.9812593132475523
2017-08-28,28.3,25.00859626144873,26.15,0.4128012568646001,0.9785434014186505,0.9558003212110406
2017-08-29,28.0,24.907043753346642,26.264285714285712,0.5033301997109824,0.9667385145037282,0.9399726485646408
2017-08-30,26.3,24.802365992410223,26.192857142857143,0.9350265008626405,0.9538677417206182,0.9498649439686405
2017-08-31,25.7,24.69461221635948,26.02857142857143,0.9906296566237761,0.9406187540114369,0.9726172233978404
2017-09-01,24.7,24.58383332272417,25.828571428571426,0.9412812150578076,0.926997809539665,0.9846058644533466
2017-09-02,22.1,24.470081831280908,25.521428571428572,0.3851451246746443,0.9111843133742844,0.9989960346382617
2017-09-03,18.9,24.353411845149473,25.02142857142857,0.023025666435679357,0.8897141818894165,0.97910370998472
2017-09-04,20.2,24.233879010588144,24.628571428571426,0.0972965469239806,0.8677172162610882,0.9324986340696862
