day_of_outbreak,true,reported,cases_mean,cases_lower,cases_upper,rep_no_true,rep_no_mean,rep_no_lower,rep_no_upper,rep_no_naive_mean,additional_case_prob_true,additional_case_prob_est_r,additional_case_prob_est_r_lower,additional_case_prob_est_r_upper,additional_case_prob_known_r,additional_case_prob_known_r_lower,additional_case_prob_known_r_upper,additional_case_prob_naive
68,6,2,5.401375,2.0,10.0,1.14,1.5396230197181227,0.8903337133957583,2.43347290843119,1.5086876680958279,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999991385067
69,4,3,6.456625,3.0,11.0,1.1199999999999999,1.5132815679990272,0.874180146667988,2.401199178262688,1.4742257577277353,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999988149928
70,6,4,7.43425,4.0,12.0,1.0999999999999999,1.447069650436842,0.8420692472711696,2.301775214311971,1.4057451703554593,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999990730172
71,5,2,5.1515,2.0,9.024999999999636,1.08,1.3101412212462522,0.7643850508844076,2.105278489363458,1.2683784673378853,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999995411885
72,4,1,4.14425,1.0,8.024999999999636,1.06,1.195930823534072,0.6903275556092278,1.9234321129373968,1.155928964394409,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999991398509
73,5,1,3.9625,1.0,8.0,1.04,1.1312323339618893,0.6468872806420388,1.8368176153475793,1.0916100506323325,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999976499098
74,4,2,5.050875,2.0,9.0,1.02,1.1067863125688817,0.6390989885983692,1.7949341788287623,1.0693378787724277,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.999999993803327
75,5,2,5.05475,2.0,9.0,1.0,1.086341533275469,0.6190206877597243,1.7485042727341693,1.0444090926537557,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999901105823
76,2,2,5.117125,2.0,10.0,0.98,1.0729079268540793,0.6197974796635729,1.7085011515617423,1.0335347611681303,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9999999835048367
77,7,2,5.176,2.0,9.0,0.96,1.0637282469336737,0.6098564672312258,1.6902104678083845,1.0249052346322247,1.0,0.9999999999999999,1.0,1.0,1.0,1.0,1.0,0.9999999695702732
78,7,2,5.2095,2.0,10.0,0.94,1.055454048931967,0.6055843818095814,1.671393765520193,1.0254751797466586,1.0,0.9999999999999997,0.9999999999999999,1.0,1.0,1.0,1.0,0.9999999392649102
79,4,3,6.252625,3.0,10.0,0.9199999999999999,1.0605836410168477,0.6077895898596376,1.7096188432651975,1.0332506575328233,1.0,0.9999999999999972,0.9999999999999997,1.0,1.0,1.0,1.0,0.9999998816552559
80,9,3,6.285625,3.0,11.0,0.8999999999999999,1.0440337941632818,0.6105119784945641,1.67921526520661,1.0166349739009692,1.0,0.9999999999999922,0.9999999999999986,1.0,1.0,1.0,1.0,0.9999998397267227
81,5,3,6.204875,3.0,11.0,0.8799999999999999,0.9943783222742474,0.5744934201146126,1.5746626322922086,0.9711163704900975,1.0,0.9999999999999727,0.9999999999999948,1.0,1.0,0.9999999999999999,1.0,0.9999997614355912
82,3,2,4.810625,2.0,9.0,0.8599999999999999,0.9140779419947354,0.5215333264939899,1.4643899903919364,0.8991889688336846,1.0,0.9999999999999061,0.9999999999999788,1.0,1.0,0.9999999999999999,1.0,0.9999996466567207
83,4,1,3.5855,1.0,8.0,0.8399999999999999,0.8437194480559912,0.4864955892403478,1.3610126710158994,0.8321489565266075,1.0,0.9999999999995083,0.9999999999998705,1.0,0.9999999999999999,0.9999999999999997,1.0,0.9999993066542431
84,3,2,4.452,2.0,8.0,0.8200000000000001,0.7961228588924465,0.45091425529622065,1.2824399968383504,0.7930636303134122,1.0,0.9999999999960301,0.9999999999989322,1.0,0.9999999999999988,0.9999999999999981,1.0,0.9999982589885434
85,6,1,3.31525,1.0,7.0,0.8,0.7430275192731608,0.4188918648627181,1.2065868190357936,0.7434578078097297,1.0,0.9999999999827698,0.9999999999950508,1.0,0.999999999999994,0.9999999999999936,1.0,0.9999973137154883
86,3,1,3.2305,1.0,7.0,0.78,0.7051159832352492,0.39171473701344256,1.1601763704859,0.7046544233882401,1.0,0.999999999913262,0.9999999999721414,1.0,0.9999999999999819,0.9999999999999585,1.0,0.9999944757181661
87,1,1,3.061375,1.0,7.0,0.76,0.6772089871260745,0.37135585315618197,1.1165780074700724,0.6794385076195554,1.0,0.9999999997315135,0.9999999998365938,1.0,0.9999999999998804,0.9999999999997484,1.0,0.9999886887326722
88,6,1,3.047125,1.0,7.0,0.74,0.6606920900040731,0.3633022662080035,1.1013900577252511,0.6664487062593972,0.9999999999999991,0.9999999988984007,0.9999999990224216,1.0,0.9999999999996754,0.9999999999985054,1.0,0.9999770696702192
89,4,2,3.929875,2.0,7.0,0.72,0.6551907317886928,0.35950103506825976,1.0862630010920966,0.6625672404795008,0.999999999999998,0.999999995429086,0.9999999952605519,1.0,0.9999999999981085,0.9999999999905166,1.0,0.9999524511430906
90,1,1,2.93025,1.0,6.0,0.7,0.6382695901291536,0.350905068623806,1.0485840299846645,0.6506917866555665,0.9999999999999883,0.9999999868565935,0.9999999799980515,1.0,0.9999999999928488,0.999999999964892,0.9999999999999999,0.9999265207034947
91,4,3,4.833125,3.0,8.0,0.6799999999999999,0.6330735746128207,0.3462805623302628,1.0521700943525272,0.6442918373182964,0.999999999999741,0.9999999508180714,0.9999998992673835,1.0,0.9999999999654023,0.9999999998000098,0.9999999999999987,0.9998494833892287
92,4,0,1.768625,0.0,5.0,0.6599999999999999,0.5920445006944508,0.3210415891748328,0.9865190098786157,0.6044735257943877,0.9999999999986363,0.9999998681939994,0.9999997023335782,0.9999999999999999,0.9999999999230499,0.9999999995617326,0.9999999999999944,0.9998289949809372
93,4,2,3.608,2.0,7.0,0.6399999999999999,0.5759140935600606,0.3127509140778884,0.9602893396996598,0.591531420244167,0.9999999999935452,0.9999995030703281,0.9999984626740173,0.9999999999999976,0.9999999994059938,0.9999999962228147,0.9999999999999167,0.9995687117296818
94,2,0,1.46875,0.0,5.0,0.6199999999999999,0.5442913281298088,0.29130414371447805,0.9262289864186614,0.560546611162845,0.9999999999729924,0.9999986895667694,0.9999954643942667,0.9999999999999823,0.9999999985397043,0.9999999886741163,0.999999999999584,0.9994134002731214
95,4,1,2.403375,1.0,5.0,0.5999999999999999,0.534377238330777,0.2797430995342596,0.9274695444151292,0.5526717190665791,0.999999999787007,0.9999961604092131,0.9999820147350066,0.9999999999997923,0.9999999912281379,0.9999999321351118,0.9999999999953866,0.998711113614198
96,6,2,3.265375,2.0,6.0,0.5800000000000001,0.5241753391637589,0.2672769933326056,0.9129551458779254,0.5451279954391993,0.9999999993156463,0.9999903507320522,0.9999432900419006,0.9999999999984979,0.9999999673179913,0.9999997469697927,0.9999999999703637,0.9979632433231412
97,1,1,2.165375,1.0,5.0,0.56,0.4956984483297731,0.24948053453474459,0.8697983885200058,0.5187132034777507,0.9999999990453603,0.9999811832923572,0.9998723937740618,0.9999999999929121,0.9999999197937676,0.999999402337508,0.9999999998786663,0.9976118722564169
98,1,1,2.057625,1.0,5.0,0.54,0.46556049546003453,0.23219201283016846,0.8195676801084477,0.4874165552214175,0.9999999933800832,0.9999584239822171,0.999692589553409,0.9999999999629127,0.9999997477744041,0.9999981553881183,0.9999999993021209,0.9965336306590609
99,1,0,0.92775,0.0,3.0,0.52,0.43157658403823784,0.21338643942214464,0.768148479242651,0.45585371900835236,0.9999999602992763,0.999916396764874,0.9993407249568939,0.9999999998499457,0.9999992476348252,0.9999949620861656,0.9999999967006501,0.9952379166130676
100,0,0,0.821375,0.0,3.0,0.5,0.41062772005941317,0.20249573585160055,0.7335010739244273,0.4369738718637967,0.9999997908839501,0.999812736466585,0.9984478739093393,0.9999999990983505,0.9999970217204761,0.9999812957080845,0.9999999805880279,0.9920481039015281
101,5,1,1.7855,1.0,4.0,0.48,0.39915101471464487,0.19361197875337957,0.718546973372861,0.4284425578355202,0.9999986569252939,0.9996015503490978,0.9965541514399296,0.9999999955095094,0.9999893648232301,0.9999366175114334,0.9999998980897596,0.9871614715359296
102,1,0,0.6305,0.0,3.0,0.45999999999999996,0.38185917146758097,0.17986383050133653,0.6981608454955595,0.4132742068196625,0.9999983351897263,0.9993276994479546,0.9942072795180843,0.9999999871094635,0.999974001664694,0.9998588895416449,0.9999996224704134,0.9841933358992478
103,3,0,0.603125,0.0,3.0,0.43999999999999995,0.37186775351015044,0.1753017645221495,0.6822210645967917,0.4062528737259046,0.999993599051656,0.9986900961948918,0.9887392485061154,0.9999999390560035,0.9999190578867502,0.9995852821751284,0.9999983656866428,0.9756766855022259
104,2,1,1.611,1.0,4.0,0.41999999999999993,0.3701317173414306,0.17230715508236646,0.6818452051134654,0.40748268499987383,0.9999878590107499,0.9975330766918715,0.9795601278515417,0.9999997662854538,0.9997681960072782,0.9989105370519672,0.99999370961406,0.9632640693251419
105,0,0,0.48675,0.0,2.0,0.3999999999999999,0.3604122581639984,0.1632825976462705,0.6761131277819206,0.40161318168586174,0.9999721867352771,0.9963442060991679,0.9707752413827547,0.9999994653607103,0.9995439149709237,0.9979717600931294,0.9999838733318073,0.9577130433960994
106,0,0,0.491375,0.0,2.0,0.3799999999999999,0.35715281600506477,0.15952587294818268,0.6713648663639809,0.4006378813295441,0.9998974365064422,0.9936217302069185,0.9526993650174578,0.9999980033686112,0.9988938527852355,0.9954828331232967,0.9999485753388571,0.9387268136527845
107,2,0,0.485125,0.0,2.0,0.3599999999999999,0.36062164647328104,0.15722626274353166,0.6748724082520606,0.4063737124078427,0.9996677304887636,0.9892587877933011,0.927859960025252,0.9999934764927058,0.9975109698788089,0.9902671595130228,0.9998590731936492,0.9128963052920632
108,5,2,2.433125,2.0,4.0,0.33999999999999986,0.36816545525877503,0.16051052711158817,0.7086413993695289,0.41873558951245193,0.9994791006711323,0.9823891741073317,0.8932414972156111,0.9999810184058704,0.9949111276719597,0.980983602462193,0.9996481129904089,0.8781366619608233
109,2,1,1.380875,1.0,3.0,0.31999999999999984,0.3555282256612657,0.15111447567450328,0.699880061243722,0.40908616646394197,0.9997044620463992,0.9810595053793352,0.885874432994467,0.9999728133272158,0.9947494824746238,0.9813915710307782,0.9995659359602952,0.9021542688605088
110,1,0,0.314,0.0,2.0,0.3,0.3358490722287193,0.1400052514095804,0.6659471296934197,0.3889977031038366,0.9996288838718853,0.9761680635158316,0.8607610223197045,0.9999538814855792,0.9932926216606902,0.977434132087095,0.9993339503032966,0.9004408121378731
111,0,0,0.29675,0.0,2.0,0.3,0.3212578625241285,0.13215437318296877,0.6426820943713245,0.37218229526680285,0.9994286902636812,0.9654563357193029,0.817239304846414,0.9998877837167912,0.9892886940345277,0.9662092440685117,0.9987790398980015,0.8740576409444484
112,0,0,0.265875,0.0,2.0,0.3,0.30910015844693944,0.12365273309001076,0.6246331982946121,0.36021110655220173,0.9988621469081561,0.9523371458411622,0.7688128522704942,0.9997688194726353,0.9835482551589544,0.9503419839232158,0.9979473474682323,0.8458821655196549
113,2,0,0.206,0.0,1.0,0.3,0.29978690493557103,0.11517818410164428,0.6141609809670384,0.35070100817540584,0.9978196957754383,0.9368980297780128,0.720115231859139,0.9995808145464482,0.975932603971952,0.9315116151648118,0.9965762735117322,0.8161646397477157
