day_of_outbreak,reproduction_number_mean,reproduction_number_lower,reproduction_number_upper,additional_case_prob,suitability_mean,suitability_lower,suitability_upper,rep_no_factor_mean,rep_no_factor_lower,rep_no_factor_upper
84,0.7926083649276118,0.5366902006024752,1.122668461834221,0.9999999999999974,0.7494299093993975,0.6578183497602348,0.8399007359465436,1.0611828651041073,0.7051814465925007,1.5193349225631794
85,0.7155661271506145,0.4830101923434562,1.0205497803205879,0.9999999999998372,0.7188087033363755,0.6286596470086154,0.8084596083583823,0.9990251386062987,0.666778302866678,1.4412942577987011
86,0.6072295640105537,0.3938484626785193,0.8863898352446822,0.9999999999931494,0.686539782533649,0.5960735089619894,0.7769018761105272,0.8880889633826589,0.567276022268187,1.3111785317935136
87,0.5312454356812505,0.33648786550749293,0.7798841995458361,0.9999999996503106,0.6545521879164896,0.5655435398990193,0.742887612056094,0.8151232130760472,0.5081725265066181,1.2197680511804732
88,0.4526314839010828,0.28193246814964956,0.6787896807193694,0.9999999973122943,0.6222114836007104,0.5319042672875487,0.7107455305519962,0.7307594007221537,0.4468613744891923,1.1035950513161505
89,0.39178821353035187,0.2440945703734035,0.5963618063743384,0.9999999847835137,0.5890942806008711,0.5008154577566127,0.6776525892334206,0.6686716677816831,0.40469205681416776,1.0408895279843444
90,0.34807842224171837,0.2088617652737,0.5338888605065671,0.9999999257952208,0.5553221223219794,0.46641716039755265,0.643514174159065,0.6309591930087749,0.372438398144484,0.9815543438441438
91,0.31372688208978644,0.19054194879473033,0.48067677409251836,0.999999714879017,0.5221434646074912,0.43143752707717986,0.6119700956597286,0.6051947634683545,0.3570116647334346,0.9657069701495277
92,0.3037635840564349,0.18032897166357803,0.47175544189902635,0.9999986395464249,0.49013564909380863,0.39960415374119795,0.5782951508548195,0.6246987608584219,0.35839873847930737,0.9890811982473316
93,0.30468755609348536,0.17864609985186183,0.48146041960205194,0.9999948444113175,0.4593053454160576,0.3686767166829625,0.5454169083893821,0.6696041337717286,0.38353118523023166,1.0810351230887836
94,0.3054639365417367,0.17747387557233862,0.4802631168444527,0.9999823240644774,0.428940063792067,0.33855703826749695,0.516245306740211,0.719847104226091,0.40096687346247756,1.1733506502873574
95,0.29494713702548747,0.16998027513951222,0.46307755065307704,0.9999474584527677,0.3988401878043281,0.3111795401041851,0.48580158483990954,0.7480908848022793,0.41309176188741464,1.2227548402146804
96,0.29296464525020743,0.16620698561136196,0.47066032099309896,0.9998137049261469,0.3699664076518115,0.28152437329498325,0.4577919299493896,0.802795169339049,0.4348505923991125,1.3501300686069353
97,0.2771828749927514,0.15364929274221464,0.45107180617242465,0.9995396268624354,0.34134450093692964,0.25415555544384294,0.4262399909472746,0.8242848571604386,0.43259568258330855,1.4199550770053604
98,0.2570461636774012,0.14178132253131237,0.43451301683659255,0.9988877531288364,0.3146725628774134,0.22773482427604763,0.401096228144408,0.8304047223179857,0.43469367298295863,1.4678699557621246
99,0.24836230653279548,0.1317556014449709,0.41856478057438057,0.9970741654317474,0.2893658811382219,0.20441524947353484,0.37396567538941583,0.8750412530782352,0.4493116982383496,1.5487622153815188
100,0.24875987878919167,0.129903616712188,0.4166314747979777,0.9932565197721018,0.2667055580443772,0.18507421643939082,0.34945615426873705,0.9529316539527026,0.4778632952246316,1.712800508338453
101,0.2484993299517696,0.12638220422037344,0.43155207861011685,0.9874705421298575,0.24540665884258772,0.1666012417248537,0.3267219665319064,1.0366901833211877,0.4979791742997434,1.8905094579340018
